2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-05-19
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбор 3 случайных товаров из списка
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Выбрано 3 товаров
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:17 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
